1,○新規 受入訪問資料の印刷代,受入訪問資料の印刷代,3,1,9,4,
2,○新規 受入訪問資料の用紙代,受入訪問資料の用紙代,3,1,9,2,
3,○新規 受入訪問のガソリン代,受入訪問,3,1,9,0,
4,○新規 受入訪問のレンタカー代,受入訪問,3,1,9,0,
5,○新規 受入訪問の運賃,受入訪問,3,1,9,0,
6,○新規 受入訪問の高速料金,受入訪問,3,1,9,0,
7,○新規 受入訪問の駐車場代,受入訪問,3,1,9,0,
8,○新規 企画提案訪問のガソリン代,企画訪問,3,1,9,0,
9,○新規 企画提案訪問のレンタカー代,企画訪問,3,1,9,0,
10,○新規 企画提案訪問の運賃,企画訪問,3,1,9,0,
11,○新規 企画提案訪問の高速料金,企画訪問,3,1,9,0,
12,○新規 企画提案訪問の駐車場代,企画訪問,3,1,9,0,
13,○新規 企画訪問資料の印刷代,企画訪問資料の印刷代,3,1,9,4,
14,○新規 企画訪問資料の用紙代,企画訪問資料の用紙代,3,1,9,2,
15,○新規 最終振返り訪問のガソリン代,最終振り返り訪問,3,1,9,0,
16,○新規 最終振返り訪問のレンタカー代,最終振り返り訪問,3,1,9,0,
17,○新規 最終振返り訪問の運賃,最終振り返り訪問,3,1,9,0,
18,○新規 最終振返り訪問の高速料金,最終振り返り訪問,3,1,9,0,
19,○新規 最終振返り訪問の駐車場代,最終振り返り訪問,3,1,9,0,
20,○新規 最終振り返り訪問資料の印刷代,最終振り返り訪問資料の印刷代,3,1,9,4,
21,○新規 最終振り返り訪問資料の用紙代,最終振り返り訪問資料の用紙代,3,1,9,2,
22,○新規 請求資料の印刷代,資料請求　送付資料の印刷代,3,1,9,4,
23,○新規 中間振返り訪問のガソリン代,中間振り返り訪問,3,1,9,0,
24,○新規 中間振返り訪問のレンタカー代,中間振り返り訪問,3,1,9,0,
25,○新規 中間振返り訪問の運賃,中間振り返り訪問,3,1,9,0,
26,○新規 中間振返り訪問の高速料金,中間振り返り訪問,3,1,9,0,
27,○新規 中間振返り訪問の駐車場代,中間振り返り訪問,3,1,9,0,
28,○新規 中間振り返り訪問資料の印刷代,中間振り返り訪問資料の印刷代,3,1,9,4,
29,○新規 中間振り返り訪問資料の用紙代,中間振り返り訪問資料の用紙代,3,1,9,2,
30,○新規 請求資料の送付代(部数&議員名),資料請求　送付代(部数&議員名),3,1,9,1,
31,●継続 お礼訪問のガソリン代,お礼訪問,3,1,8,0,
32,●継続 お礼訪問のレンタカー代,お礼訪問,3,1,8,0,
33,●継続 お礼訪問の運賃,お礼訪問,3,1,8,0,
34,●継続 お礼訪問の高速料金,お礼訪問,3,1,8,0,
35,●継続 お礼訪問の駐車場代,お礼訪問,3,1,8,0,
36,●継続 受入訪問資料の印刷代,受入訪問資料の印刷代,3,1,8,4,
37,●継続 お礼訪問資料の印刷代,お礼訪問資料の印刷代,3,1,8,4,
38,●継続 企画訪問資料の印刷代,企画訪問資料の印刷代,3,1,8,4,
39,●継続 最終振り返り訪問資料の印刷代,最終振り返り訪問資料の印刷代,3,1,8,4,
40,●継続 中間振り返り訪問資料の印刷代,中間振り返り訪問資料の印刷代,3,1,8,4,
41,●継続 受入訪問のガソリン代,受入訪問,3,1,8,0,
42,●継続 受入訪問のレンタカー代,受入訪問,3,1,8,0,
43,●継続 受入訪問の運賃,受入訪問,3,1,8,0,
44,●継続 受入訪問の高速料金,受入訪問,3,1,8,0,
45,●継続 受入訪問の駐車場代,受入訪問,3,1,8,0,
46,●継続 受入訪問資料の用紙代,受入訪問資料の用紙代,3,1,8,2,
47,●継続 お礼訪問資料の用紙代,お礼訪問資料の用紙代,3,1,8,2,
48,●継続 企画提案訪問のガソリン代,企画訪問,3,1,8,0,
49,●継続 企画提案訪問のレンタカー代,企画訪問,3,1,8,0,
50,●継続 企画提案訪問の運賃,企画訪問,3,1,8,0,
